block_number,sqrt_price_x96
17090770,1011614793278063505559449
17097970,791344182203593101463552
17105170,987979872757294865166595
17112370,1042696148270419892851250
17119570,1000239306760067563592326
17126770,933999586862673087742637
17133970,866197798906600649383720
17141170,929546292254459669424381
17148370,1034456966553065447059185
17155570,1251622944831272462584459
17162770,1643639941720945160782241
17169970,2104682731746143464198813
17177170,1897978589736169096619613
17184370,1893230791170164883595270
17191570,2696253866463842643453343
17198770,3093635244556297676144187
17205970,2912881182861714605249007
17213170,2906601781689986513561067
17220370,2520349516496248652776782
17227570,2597957730752017514888709
17234770,2490083915427742233125767
17241970,2079381266519356829734788
17249170,2353199084885953778622997
17256370,2574516433331091828163910
17263570,2439561267656569077194830
17270770,2408419661235027849676475
17277970,2338127371008735554935527
17285170,2324396718158934167418030
17292370,2297061065307227314236475
17299570,2331684625923582303563603
17306770,2424172155436364364853319
17313970,2335832029793299627097993
17321170,2310192453798737227483831
17328370,2266810096654382070856093
17335570,2243282468266534992618436
17342770,2233917389448750943387600
17349970,2271466858374512996738220
17357170,2232295643678827136590317
17364370,2186156618834688509221266
17371570,2126306583320106231883643
17378770,2033245715974522592327748
17385970,2096080816581856070311885
17393170,2045032747478240475429923
17400370,2086245326617056917420032
17407570,2053820094531169873238788
17414770,1969791978383852235587519
17421970,1913777024826519997677041
17429170,1919212767739696080124044
17436370,1943152938677474930042260
17443570,1983829372661601568841634
17450770,1805413101572149474028239
17457970,1815286897690094394769717
17465170,1809400845697777690446226
17472370,1813991568526572205193373
17479570,1831438153340384842024230
17486770,1803860131998642807752826
17493970,1891149529225140994772819
17501170,1915123590406932444260486
17508370,1873124763863263386791838
17515570,1853959910618313063130576
17522770,1848727760057219995654686
17529970,2159419192694277952920689
17537170,2316147036259493446418435
17544370,2335685051812865473819593
17551570,2273086591484750436802495
17558770,2297859289569591282475567
17565970,2271489154749280954327538
17573170,2316059661733357763885047
17580370,2211654154163465888842683
17587570,2275030141217373191961328
17594770,2302581102968158019411550
17601970,2249139212777063051527882
17609170,2262303507891192197226008
17616370,2414875481686156833642882
17623570,2360692512769763902699767
17630770,2309684097200511007270846
17637970,2296047884755535267988367
17645170,2284110751796061532885156
17652370,2284550262269516076220698
17659570,2283619434641280865932292
17666770,2249087461116010142719345
17673970,2240782184936416659417809
17681170,2245741257497097087064208
17688370,2312707159783949268539960
17695570,2293005277891868931704211
17702770,2312900790861647259747692
17709970,2240491728969311347665948
17717170,2278820775670744690458624
17724370,2258134347685502701913205
17731570,2258611923308104901143816
17738770,2242750561188681390191306
17745970,2249260852364121513428765
17753170,2237949443072671952218480
17760370,2227343139369082413792870
17767570,2129254466089097963584467
17774770,2060510667054433970426073
17781970,2118082596460723379487702
17789170,2116773863029045414789481
17796370,2126016746370815179941090
17803570,2109279356615785266975866
17810770,2085592838646964567745198
17817970,2040672527117930906039748
17825170,2080799186799522474259022
17832370,2040614008783307268600331
17839570,2026574551651569568297579
17846770,1968743937868156510653178
17853970,1992376304039387066175507
17861170,2010267306916397006165003
17868370,1951893869128566862158676
17875570,2012939198717471085297664
17882770,2040712959477705556175798
17889970,2063742630982520295701745
17897170,2131865442634676269304361
17904370,2133981449558505895974323
17911570,2158609619485212494790743
17918770,2160078027515115718073991
17925970,2075646936643475333549616
17933170,2046249807478112034382994
17940370,2026572446656050148138895
17947570,2032218335534833494300349
17954770,2050772107578713749124244
17961970,2040774850983621702873876
17969170,2021846184571604503517611
17976370,2020248327802711666730816
17983570,2029836558848031051487229
17990770,1840406708756559100379170
17997970,1849276023728031879997829
18005170,1852271027808020292437425
18012370,1828114911694183123878425
18019570,1784893229715234787019322
18026770,1797548250584437046923494
18033970,1778530015823474757421375
18041170,1763561564579296165224334
18048370,1736736185572637985752020
18055570,1735712008494103621241269
18062770,1759971655212688794773665
18069970,1752750874727868991567946
18077170,1748317746550823441177761
18084370,1744533634541044659790689
18091570,1742418511247314864159004
18098770,1737797908303624902949977
18105970,1668024415410452271908264
18113170,1631148521293236526057367
18120370,1645839164491880587678163
18127570,1626270272876851154827114
18134770,1619968989760309474990045
18141970,1604717087244931009876028
18149170,1614302649386293037704768
18156370,1599891862321239224576675
18163570,1565974481775579189488942
18170770,1562107299816963532314047
18177970,1550435665668931953386473
18185170,1559262379316719489297354
18192370,1650898309455619922667811
18199570,1622038119113808604508737
18206770,1633539538787433418828817
18213970,1656332832557057441784625
18221170,1660258591556151385038817
18228370,1706375312335177419322366
18235570,1661800933360618212123398
18242770,1723093769978915067498915
18249970,1718247017482528337662260
18257170,1715774238882390397296077
18264370,1703193423421272015468732
18271570,1670586990515413307414680
18278770,1650165072907394713070602
18285970,1653062535451584799599598
18293170,1655053783337141969945715
18300370,1645297678197807835217953
18307570,1642596683996170614846974
18314770,1626142306822868984965147
18321970,1610996948223367596319740
18329170,1591870381532446210478033
18336370,1596728204996231805121821
18343570,1619819645582061227261566
18350770,1614703025117938765420752
18357970,1633723562857079087136401
18365170,1635470795534224000107957
18372370,1603599363634773550210441
18379570,1590050257911186391824251
18386770,1585447860308287331951624
18393970,1590717461549098302505988
18401170,1642187055021078174235325
18408370,1679156245290672926333671
18415570,1689662406342573599889913
18422770,1807029408965090282892669
18429970,2037237078046902726928133
18437170,2104349937996188877319992
18444370,2026251821224701121880017
18451570,2015779769143847150379956
18458770,1996148733132845852792869
18465970,2025667827072159412473401
18473170,1999976806761233349601398
18480370,2002914924483266553938340
18487570,1945248333201474327559868
18494770,1921901851020071757949649
18501970,1944249082682206021028858
18509170,1928892057639090607633968
18516370,1991102539706119766409216
18523570,1969675410824595616301056
18530770,1982320163348363400269355
18537970,1992602152599525587966174
18545170,2013112280489871803467874
18552370,1959108354810459191044028
18559570,1936723012772912665287968
18566770,1866953232790257729079442
18573970,1911556769544547950898491
18581170,1964649417299242046106325
18588370,1921416775565350071202120
18595570,1910149551621593700045281
18602770,1901032081247761830022178
18609970,1915350723622884307937853
18617170,1869307832450029884471243
18624370,1845136395412944099933258
18631570,1848919108748273973587699
18638770,1808207986728159877399446
18645970,1841830526545908074682132
18653170,1881174823114817154817997
18660370,1828224375592204450796888
18667570,1828191581946610124603358
18674770,1830882648023896482674564
18681970,1812905006469265145987072
18689170,1818161557233176024962724
18696370,1822857445569286314969331
18703570,1871227344259564693928586
18710770,1917002841601232925050785
18717970,2000903967475997640178543
18725170,2091908492793385737886779
18732370,2043579222001501613865784
18739570,2023900811542084605138911
18746770,2033317014900383046445774
18753970,2038202689646504880460482
18761170,2010322904764147709095307
18768370,2001153074229203653371276
18775570,1963441111122751738871808
18782770,1994762112564887149675367
18789970,1981338807002748461643178
18797170,1968244042579546619306884
18804370,1974164889543384725952617
18811570,1920984047503701505989232
18818770,1919874044252628180547140
18825970,1904190494409498143950804
18833170,1889210200271481774169389
18840370,1922980521967042120744911
18847570,2003102822202680704829005
18854770,1967455161209150222309496
18861970,1952802771118801263947786
18869170,1967156390432794434339293
18876370,1950048279201810783594696
18883570,1924669385604804984974157
18890770,1921031768116492046508547
18897970,1909561991370947474629101
18905170,1905602810146726342975834
18912370,1891695792791744952823086
18919570,1911298497551566641562585
18926770,1829011756748183922760813
18933970,1856896325662442879832445
18941170,1836182077836490669080507
18948370,1787349066110694276839525
18955570,1804172298715281791482207
18962770,1773740962136337998130050
18969970,1775831269643003028440031
18977170,1762650929967156179700432
18984370,1836920369548657882775953
18991570,1789708581880689945633513
18998770,1736110975580442549412545
19005970,1749452323245816288062109
19013170,1735611374668492532927152
19020370,1728373312641531461031015
19027570,1730708105484383079376046
19034770,1716617798046726567972827
19041970,1680792976094873539040147
19049170,1689165561330030076120015
19056370,1702865715133024825485465
19063570,1690801596005535178546661
19070770,1699103534519677413047245
19077970,1714229618944264963211541
19085170,1701002742898234712114581
19092370,1727732863878817241878113
19099570,1732239833400838456456259
19106770,1724770311872529439033130
19113970,1713546611033506790720573
19121170,1660390105062282844386486
19128370,1586093595105387328818949
19135570,1583069266214595019605480
19142770,1590111623243824369344811
19149970,1589064032926992604869918
19157170,1572544409104350645470346
