block_number,sqrt_price_x96
12388028,2108889692158436052392065
12390428,2275600869295620741930066
12392828,3573284485497124640947326
12395228,4912614678281149830635472
12397628,5528778279236812307604963
12400028,4625485491214360964171953
12402428,4847461502809763187065343
12404828,4639510403066679300065770
12407228,6487492317168701292867865
12409628,7718258894444736427768750
12412028,7052415376719846011834166
12414428,7063580008928894952369267
12416828,6819350651166069961777988
12419228,6451335084071931176023593
12421628,5778045061691209825300796
12424028,5770107869360780752517127
12426428,5538141696891163573675462
12428828,6093166787468972690888133
12431228,5880575695404881273700204
12433628,5493730326987008652640618
12436028,5258359243016931738280672
12438428,5317576314325838167318098
12440828,5344741940156220183747974
12443228,5087308599637488661103506
12445628,5158025544591092061533118
12448028,4974942134012769043051229
12450428,5390881936675113495567945
12452828,5416661656896212371481807
12455228,5571613799510710772565776
12457628,5539333535195336089443581
12460028,5395943603556840939178553
12462428,5314177433922387852441037
12464828,5047060234232674798643703
12467228,4985556427953451833503273
12469628,4965674675209738628538942
12472028,4927669816158988890669244
12474428,4676114862826208757360265
12476828,4637171113899975489382332
12479228,4528721151594920356416332
12481628,4508757720860275470788887
12484028,4454641108855609117203808
12486428,4705730801195566765859064
12488828,5083226763154343531189631
12491228,4967865959389518953233018
12493628,4915914070755245946255297
12496028,4822034420609617415095058
12498428,4920501936180564150056639
12500828,4940477509604216014124605
12503228,4853155900592235559745979
12505628,4775227220583055865807960
12508028,4627229856791137889757749
12510428,4677857408540180326556763
12512828,4580597261175297982407531
12515228,4529584340523326495768291
12517628,4471007145824277918002084
12520028,4462832944560037720959064
12522428,4435172382394999692594297
12524828,4440410864525101010315345
12527228,4485624052826281385139927
12529628,4482309869359590410781519
12532028,4619379316777530963375579
12534428,4515879126478127454353029
12536828,4542464999984839588160117
12539228,4572611516134587739059270
12541628,4474215112598230058470096
12544028,4598248072032715690223833
12546428,4691163310836013244797678
12548828,4572187115273097459183083
12551228,4561326587676246625321863
12553628,4545650502345395979472490
12556028,4661522857573971705948835
12558428,4714947012220975135975960
12560828,4690063651518456105255074
12563228,4603497671261249587493581
12565628,4583658649543746331303255
12568028,4551912812620094845079066
12570428,4541943098928412530085182
12572828,4500163124953229047707816
12575228,4529165531032072317835020
12577628,4476102009125486606848847
12580028,4442513287806670957580142
12582428,4412267262951226219194225
12584828,4429650051569375613489855
12587228,4352968932045776287131773
12589628,4342600610665677289788299
12592028,4287287477125830727498663
12594428,4256946417634462003316465
12596828,4303971386479473247873461
12599228,4257428508584709782065041
12601628,4255102266189901219593335
12604028,4223123196853541875028694
12606428,4155663425238292368657082
12608828,4205933024539520062797040
12611228,4176179883176697184740311
12613628,4163725521914295538943995
12616028,4105516939099372139489171
12618428,4090316366352818091790516
12620828,4006411650035681865997955
12623228,4062011784610628335373127
12625628,4077942073555051073013257
12628028,4154963012953766045052547
12630428,4131288216481077018021974
12632828,4167010044020944622783448
12635228,4144836473970401961661066
12637628,4134185132400804958291768
12640028,4229126694714217454887516
12642428,4670720801760821616678544
12644828,4713296979531403837423142
12647228,4791944637290809761107201
12649628,4654305052696527821348476
12652028,4522103891487543210687953
12654428,4596915908965952076782824
12656828,4522069546614487466504118
12659228,4455337162207774407985811
12661628,4518873226461550098455641
12664028,4608841230342708579807947
12666428,4625919944987616397111532
12668828,4684097943287464633836073
12671228,4690524720214754785399033
12673628,4654715712127109776047053
12676028,4759314652564831645157639
12678428,4718648142796070810353780
12680828,4462800419076559735148917
12683228,4583154489208404333432004
12685628,4585282916886405609801838
12688028,4580320726776856682346288
12690428,4604446775244520910183459
12692828,4634979680680902529885414
12695228,4705631550321731340935510
12697628,4656803441727589164262809
12700028,4784581551753910731275967
12702428,4738810043134650800409585
12704828,4913397645637796758468699
12707228,5007335144936056989540329
12709628,5029362535570222862551733
12712028,5102999269172554472724553
12714428,4983366405033935151398577
12716828,5009294905271330183455212
12719228,4982883203518997608688895
12721628,4946454994675503450075734
12724028,4900375331267466247782616
12726428,4948052443540418432465008
12728828,5124313466225830908655516
12731228,5117678819401626065509664
12733628,5138818814587307213288422
12736028,4950883098252318973828031
12738428,4929925629405310791113236
12740828,4959062517136275148547201
12743228,4993545633070905783183948
12745628,4992708617981124633462846
12748028,5014091559346342834332152
12750428,4969300408042551891604093
12752828,4972998297142573534970992
12755228,4919629207675143966428934
12757628,4954157688788542121138059
12760028,4883065235453668363385452
12762428,4821515413207111304932407
12764828,4872727751681471347657825
12767228,4856799529918683423328708
12769628,4863294490022845304909309
12772028,4835380006439074296463529
12774428,4912594040764057477961057
12776828,4853192456262023113731574
12779228,4785773750554312413255030
12781628,4795520882955719233071375
12784028,4791338481608621834070220
12786428,4818534401126235003401459
12788828,4841720894824698487011111
12791228,4838141605582233124961269
12793628,4841075254446794621202295
12796028,4820717590786976327082671
12798428,4816072052688555893849661
12800828,4811742427166554327432139
12803228,4769072348195707143050669
12805628,4759906255598780666888102
12808028,4783304214481005688207751
12810428,4821340263225825336170888
12812828,4809577842464164402939470
12815228,4793399672442145664453954
12817628,4798561084720175753666110
12820028,4770249792195009861106868
12822428,4749011560685367450265126
12824828,4774765224157130283914644
12827228,4804226866818537238749593
12829628,4745161876752364278637534
12832028,4776948021778316244474067
12834428,4741980143884734282439902
12836828,4737840854365531253573069
12839228,4724924306691159985912864
12841628,4703306991633863474301022
12844028,4738771831606425846444391
12846428,4775419564046544660014499
12848828,4641706375116309486377179
12851228,4644076557617386643809578
12853628,4679985546687198330200787
12856028,4629202023627802792113060
12858428,4609926608097180452007776
12860828,4580082717353538753449774
12863228,4554457068933482974924304
12865628,4542412230725477157719251
12868028,4569451233832941251964147
12870428,4602990541850902215833181
12872828,4556914062753256552581030
12875228,4507478795511600265207307
12877628,4488393591133203846507363
12880028,4457637082787130140916212
12882428,4427993772664087643776148
12884828,4400580254647295944271383
12887228,4348786168361120662918232
12889628,4334298404367418583653476
12892028,4317143893394070922741519
12894428,4291732712889279266916870
12896828,4273109448725688291594014
12899228,4273091169084053845616461
12901628,4213911274468846529461233
12904028,4211628344899875028416936
12906428,4192344942290738144355416
12908828,4165456265360404480128551
12911228,4149443064366406341853370
12913628,4135798415320807013086713
12916028,4115461813503897053737971
12918428,4096418577565393681657941
12920828,4077087154861673528137014
12923228,4119981019337780740333963
12925628,4059123382454294222149636
12928028,4050968782952617260272273
12930428,3997376885771560527498292
12932828,3997172396120588840438233
12935228,3978977466924028689694395
12937628,4010297484209014984616472
12940028,3962216893235987050947185
12942428,3886762329918209641440914
12944828,3883214837727691625001295
12947228,3878732301738744165719427
12949628,3938013161900032864099403
12952028,3951265633542345097061386
12954428,3954070513522662859553409
12956828,3928386167105653109921468
12959228,3855339921022675556689298
12961628,3783676616502030184636411
12964028,3812700248974965769384857
12966428,3711069312836212406523138
12968828,3709692671159596336664332
12971228,3727960392319779936651521
12973628,3715877185844750734876593
12976028,3714303732207175917582767
12978428,3727455405202439118326721
12980828,3840456883864430478613431
12983228,4028176378703474443072981
12985628,4002077094883693306863114
12988028,3938647177434011656776577
12990428,3953957625907846673682429
12992828,3924471026316245015704390
12995228,3908605570863721324333269
12997628,3903195640609457703698302
13000028,3875012634611209390630975
13002428,3928378255593755591569621
13004828,3935366123961113620794253
13007228,3928074702590838563289398
13009628,3986655522759707204134316
13012028,3967612374971739351239650
13014428,3993486413291191773996609
13016828,3919247224207074226583591
13019228,3936597607527171627818870
13021628,3914297797922643701884954
13024028,3947105795619184799936301
13026428,3937920024056394217534334
13028828,3966287345681171264908067
13031228,3983710707566101508289735
13033628,4035937187307678971376179
13036028,4176461072813396520221142
13038428,4184877049134914242785698
13040828,4230405684648838118354042
13043228,4171641136267414766471083
13045628,4105864863552340198145130
13048028,4091605801435509358860166
13050428,4073249634101632057819606
13052828,4089483653475195204879957
13055228,4084856418982096858203134
13057628,4061293655319677149711041
13060028,4038226611625721234562254
13062428,4026491156431397803859873
13064828,4037106015396995814408182
13067228,4002929225560619816225105
13069628,3978383408111280207290259
13072028,3969366445203480854868805
13074428,3967745981703421237131055
13076828,4014226636636324340689686
13079228,3941426653602439691211853
13081628,3934209418234305108577652
13084028,3922999456560970763400559
13086428,3902893848192380077713181
13088828,3862992192725592097641976
13091228,3855266048728996082794899
13093628,3855831890236905882164378
13096028,3831147483654281277290151
13098428,3816578366014675399318726
13100828,3799147983952596997681006
13103228,3725954841728031892141533
13105628,3744930008988093812838072
13108028,3753377950167607383780469
13110428,3778883166625391251982308
13112828,3759373851972240205295721
13115228,3749657314604351762152813
13117628,3745598767766528801472354
13120028,3712472328320207217686677
13122428,3724919983687322718156208
13124828,3719433145666313433730515
13127228,3700312440521799308500350
13129628,3606612699182883660838011
13132028,3593915984525853556296954
13134428,3597336702911536354158131
13136828,3521132971294708353144342
13139228,3509792724070575725981872
13141628,3426328866576837003426748
13144028,3464349832296579917880096
13146428,3452930251134776657188669
13148828,3420185538403545578320681
13151228,3408800684866103013791987
13153628,3370545829399568968316010
13156028,3345793134495693796252857
13158428,3356523944268175477302143
13160828,3447787534525570621847601
13163228,3457193229747904922537890
13165628,3426699385912072413163875
13168028,3433486841691302841481040
13170428,3453748459655441309207054
13172828,3382105762718629869029388
13175228,3380596480799147729180045
13177628,3347475204648270094162383
13180028,3315100308879354989095714
13182428,3299832661642203495727496
13184828,3289543411343780025247731
13187228,3512306473191573253172690
13189628,3577216583173115271422366
13192028,3521119123150923216728830
13194428,3678483482455443984307915
13196828,3595899174500873501285711
13199228,3629749136718082316718346
13201628,3653100963098526023424463
13204028,3615459592703356566262418
13206428,3613978980520474427169175
13208828,3591571780971457967883305
13211228,3546721676712585297791702
13213628,3553325079249095199550256
13216028,3555119333261301039109447
13218428,3542234964651463453789915
13220828,3508416784500453799366786
13223228,3511575904909395877324809
13225628,3507997436626152044361546
13228028,3499478398451046823413318
13230428,3525626188935492276286020
13232828,3456202090958537327180007
13235228,3403460088236022398815302
13237628,3394147716001933655901341
13240028,3917838448397352828643445
13242428,4017278856866934321125428
13244828,3913880889972822560594573
13247228,3930213829840441511575614
13249628,3774299003362430835453735
13252028,3767485132440697537532025
13254428,3760746999786643922130326
13256828,3755687669846055888777854
13259228,3929899359276642440538036
13261628,3837931911433689732091639
13264028,3819419762293821642974659
13266428,3843130585979882859062492
13268828,3810317520927068699857342
13271228,3867375830883214559453043
13273628,3917143244549264820897536
13276028,3864033844808920606444011
13278428,3863385010527370570969989
13280828,3810087394700212455874128
13283228,3892780207956444639416531
