block_number,sqrt_price_x96
12376387,32376253762310902672622909795905527
12378787,32340289324718386348624919526779813
12381187,32340289324718386348624919526779813
12383587,31707365142352352452227075298565162
12385987,31976823946420288992445120682109522
12388387,32037246314189393008806482899134263
12390787,31952712455708556366401917025585308
12393187,32247480010906633920146152109669373
12395587,31159689946448768828090676545347669
12397987,30779904810019792596781855361960472
12400387,30775089273129916274703116501221046
12402787,30512283181766812201433920948527269
12405187,30039234069858261693492374793425069
12407587,29545443249529466297921665558626400
12409987,29701694611551934395261589250272768
12412387,29731530155521921670965641967963080
12414787,29545493671674137007357470045886911
12417187,29545493671674137007357470045886911
12419587,29545493671674137007357470045886911
12421987,29545493671674137007357470045886911
12424387,29545493671674137007357470045886911
12426787,28442223618347101197408693171700001
12429187,28751273401841245264409488731238629
12431587,28751273401841245264409488731238629
12433987,27833218574825148713215227561428506
12436387,27778667106518773269737545131232288
12438787,28057315370162662158254758172131589
12441187,28333059695841160538275427512412582
12443587,28120973775248741605849660909061660
12445987,29034644621609445777889484566838135
12448387,29034644621609445777889484566838135
12450787,29034644621609445777889484566838135
12453187,28536406728068182177045336405589043
12455587,28712159904158043580019296718012463
12457987,28495631121535433317325481503694591
12460387,28341761949691192782438477590959793
12462787,29364058904802878461722367542855729
12465187,29364058904802878461722367542855729
12467587,30506147462753758888331828883639962
12469987,31222240988355804295612489813479009
12472387,31178708009306360579386911954598680
12474787,31178708009306360579386911954598680
12477187,30509876176657717064359946329660586
12479587,30567231356182806385426678474998587
12481987,31469258798087950442094810799994198
12484387,31606540256525441181732812532297035
12486787,31895365445124488744403937912834843
12489187,32265681793104226205029379990175958
12491587,32922859734008474520799768759791159
12493987,32111441995547829842456974914858648
12496387,31845919157940746184914684392422466
12498787,30618198871601890770105766559902360
12501187,30438970757810274745780671582690452
12503587,30894258895593966488915277655503058
12505987,30321985261509595855769492680005477
12508387,29822095853649506046051820968077463
12510787,29922985947859257178147521608180908
12513187,29363455997200461801943773072565202
12515587,29699159627974024183136678015207796
12517987,29638518121047293273054744759639045
12520387,29660233439819967220336186031486143
12522787,30108601514489333315079589376234233
12525187,30262159515402902193180408822040209
12527587,30155832743713726800756356216102593
12529987,30272305981290398292076232652087633
12532387,30864084047604620773397723588404511
12534787,30388065659640966655284844372232088
12537187,30497139263541936732012349231461683
12539587,30731303360693742013830869995626127
12541987,30074210197454791348496865745347537
12544387,29765144193576738070462465002896004
12546787,29482631525548006348552222204894870
