block_number,timestamp,sqrt_price_x96,y/x,x/y
12376729,1620250931,1350174849792634181862360983626536,290416214657745,3443333910
12379129,1620282250,1349455942403455280869650838376902,290107029845011,3447003681
12381529,1620314849,1331645075167582260580421920153591,282499580375024,3539828266
12383929,1620346823,1337727823580104074746991547077862,285086303427600,3507709728
12386329,1620379299,1352858712162969376165151222026880,291571934346305,3429685378
12388729,1620411535,1333009883855886775718255892154128,283078947158090,3532583436
12391129,1620443448,1332147626990388827007515955251705,282712846613884,3537157974
12393529,1620475022,1330883298084405403778644541164143,282176461014601,3543881712
12395929,1620506960,1278457492677088604840182729514595,260383474648511,3840489498
12398329,1620538691,1264239890729864659411189409539510,254624278638396,3927355259
12400729,1620571115,1280911176016774402495562856694329,261383917293416,3825790088
12403129,1620603177,1269123566826960855674883018113909,256595272113487,3897187940
12405529,1620634478,1241582598826485502002529717031856,245579475161042,4072001535
12407929,1620666934,1230536857925077342006728602131867,241229316099150,4145433134
12410329,1620698802,1268892261128834674530233737352849,256501748454370,3898608902
12412729,1620730423,1243429140077268180241149437542724,246310493531940,4059916350
12415129,1620763171,1241864405444987401894611706562587,245690967985598,4070153690
12417529,1620794750,1207410131571231632189919206167205,232247187838680,4305757194
12419929,1620827153,1210933820097303469499038480120523,233604739650618,4280735063
12422329,1620859430,1249948462292664116434026483197391,248900085461423,4017676402
12424729,1620891059,1253718928403220925570861849421741,250403963118130,3993547017
12427129,1620923553,1276817280687004582899147382522277,259715779190016,3850362897
12429529,1620954676,1281197471882015038065218417696562,261500773948464,3824080460
12431929,1620987841,1258494561869779694353796056175025,252315260931204,3963295744
12434329,1621019456,1238504983832269533985712008216016,244363507178823,4092264068
12436729,1621051540,1246813550958823997315932326506284,247653152105362,4037905399
12439129,1621083933,1265736664113465323925630431811470,255227550933168,3918072309
12441529,1621115147,1281196817027326308631721331329807,261500506628292,3824084369
12443929,1621146821,1275306765500291918787082586392469,259101638732740,3859489291
12446329,1621179293,1307450472759019971231165073665869,272327391012483,3672050748
12448729,1621211259,1331662609466377057823568978268578,282507019992015,3539735048
12451129,1621244605,1340087277326172932065354904953843,286092847711484,3495368751
12453529,1621275861,1392924733099414990018816426806991,309097955373596,3235220364
12455929,1621308155,1359534103651514073819307589286039,294456431791074,3396088154
12458329,1621340183,1341231009807513384145725596221743,286581402931247,3489409953
12460729,1621372089,1351358495240252323698731086746577,290925630910696,3437304567
12463129,1621404420,1460256013156597602177650456039670,339702575145318,2943751602
12465529,1621436657,1643064255286828580676972204103911,430080674299435,2325145164
12467929,1621469068,1579366864191161884658289952864404,397380797198655,2516477915
12470329,1621501090,1529968214972794390108021654307184,372911390878204,2681602183
12472729,1621533326,1503638478515593316073593563822341,360186718231262,2776337797
12475129,1621565108,1482697710344935045657649675650066,350224130966181,2855314387
12477529,1621598008,1528789436443511454925341097613186,372336986001915,2685739095
12479929,1621630116,1654290244619986077616913490965462,435977673902758,2293695434
12482329,1621662334,1701241481697494790043522524480499,461076257969873,2168838630
12484729,1621694992,1625041387640968974939125778889611,420697261709015,2377006201
12487129,1621726536,1631290819192355691868088150443679,423939239630204,2358828592
12489529,1621758920,1725050337020269020151473312452282,474072078277448,2109383880
12491929,1621790965,1799833589480615645801564035024221,516066345007729,1937735350
12494329,1621822896,1719742427947041670408218339258227,471159165990321,2122425015
12496729,1621855697,1652981320314982302737112547989681,435288029490881,2297329428
12499129,1621887202,1535811114978292418903237041557042,375765103119770,2661237011
12501529,1621919172,1554792689648402549115829103207790,385110901446174,2596654616
12503929,1621951311,1571685103059902471040800221016781,393524618098012,2541137082
12506329,1621983703,1520130120242188894920607457833726,368130975070962,2716424500
12508729,1622015550,1476568429145815089975348747303768,347334553088270,2879068584
12511129,1622047883,1516271805635876429985269841191601,366264605144981,2730266550
12513529,1622080172,1515234036185709210890941396311914,365763417768503,2734007698
12515929,1622112109,1496052291338941093670764870883249,356561443922912,2804565712
12518329,1622145321,1511803421420486277114210600447832,364109055638540,2746429907
12520729,1622177102,1530529384887567914847295406389384,373184997910506,2679636120
12523129,1622209138,1557544162957963864330435977548772,386475147580984,2587488500
12525529,1622241208,1627528490215950069459781658009790,421985989414816,2369746923
12527929,1622273607,1578000567338365805517868257628340,396693553090359,2520837538
12530329,1622305588,1644437646082798429950890411629013,430799959256635,2321262986
12532729,1622337455,1678503442446490587693247998603878,448833542146049,2227997478
12535129,1622369929,1609720587884932813449780008215191,412802035126007,2422468677
12537529,1622402300,1597726614690257039812988611051438,406673404845227,2458975649
12539929,1622434614,1657849940048819237415239320427964,437855962764726,2283856073
12542329,1622466919,1574916620743318264359110528916197,395144521604724,2530719636
12544729,1622498717,1544706954246130715209039603088257,380130779312495,2630673585
12547129,1622531201,1531105382098428048898681931518436,373465938567643,2677620357
12549529,1622563617,1563292562627949750184882792128185,389333125284660,2568494523
12551929,1622595142,1552047246642462096760084016946076,383752049489772,2605849275
12554329,1622627324,1522254219274413283572088531917477,369160482939983,2708848986
12556729,1622659246,1505392054906195664644937123260933,361027323517657,2769873455
12559129,1622690820,1521574840816320146124038107649269,368831045568929,2711268511
12561529,1622722945,1496794531052014802663596750940655,356915334915980,2801784911
12563929,1622755789,1487998897274173540204752732301171,352732966841545,2835005780
12566329,1622787854,1535596036015695813718628262922130,375659864254511,2661982541
12568729,1622819643,1541828408863078686345660276901198,378715359825343,2640505524
12571129,1622851236,1527982011870766753565803867124648,371943793014980,2688578271
12573529,1622883522,1495331462639548545007071657446923,356217929455302,2807270261
12575929,1622916298,1547934334519283588158688645560048,381720864977513,2619715325
12578329,1622947719,1529494284391557766383052322047984,372680396877833,2683264288
12580729,1622979445,1524806361710976650442891626363190,370399356060626,2699788710
12583129,1623011388,1528557619464086534301165089524508,372224076415703,2686553781
12585529,1623043478,1503299003920131530080174627744301,360024098772718,2777591842
12587929,1623076149,1501167320709769327949549492783595,359003791839631,2785485899
12590329,1623107829,1548397467898916316409095505000000,381949316685415,2618148420
12592729,1623140004,1573400036702828982498445174991764,394383870113260,2535600656
12595129,1623171965,1616349665954486470558241687322414,416209001027165,2402639052
12597529,1623204022,1605768442520546526883923550000000,410777521170129,2434407796
12599929,1623236064,1584476278641138346670772959088185,399956091745869,2500274456
12602329,1623268762,1565131263813871891642989766562286,390249509444457,2562463182
12604729,1623301072,1569508143258414800499670407677478,392435221794717,2548191254
12607129,1623332733,1570817035657253022482557514877514,393090037971009,2543946433
