block_number,sqrt_price_x96
13143698,1292692512533636681812260363304234
13146098,1290928314851202728539151282217605
13148498,1285272501606659436138386001036485
13150898,1284803932423365587228788332383611
13153298,1254580343281254623409965838858383
13155698,1269309544341203324056907194000000
13158098,1264722222590071888487235218179088
13160498,1271244660820449351785536749245591
13162898,1269036439255985764914736487899776
13165298,1264941770830647358829377673202008
13167698,1263151314357705406094827425522886
13170098,1265894658755184455839787479655098
13172498,1268019436309664530390373606033080
13174898,1260810426433095248926764001238342
13177298,1268593961709871493130699497048947
13179698,1343482564272553316067210810895256
13182098,1348816388800364739221755930015605
13184498,1367718201449601954577828061477746
13186898,1333114055298612905268509822566214
13189298,1344820377307324421958978393537943
13191698,1335913587145945224205329845354467
13194098,1347454822051191984932902419100562
13196498,1353898074909220878644792053417480
13198898,1382417902372136801663018905234590
13201298,1393647795099856374023247587073143
13203698,1389199562874978115643827141692306
13206098,1376635340233372342349584596727859
13208498,1375072854242385987215126092212841
13210898,1350224418107073010370763610084710
13213298,1373984227741814652054673799891536
13215698,1381995919333320715434448018000000
13218098,1400965837180459847926900235977311
13220498,1383684838400993180437413856542720
13222898,1368120549125137748231280724577373
13225298,1362412709719141177234458466987553
13227698,1354720699141348318120164339694220
13230098,1358551400178995650112759485436448
13232498,1329708027930973401157040220740385
13234898,1313073397550729350103170474447768
13237298,1327384122021139346970474087134223
13239698,1326469580368182213355230937301123
13242098,1333352117847565342006026155937453
13244498,1346226853908545037423746886756474
13246898,1356247660176093048952745146709209
13249298,1332677826419183556782147455928002
13251698,1350375701501984305972098789015552
13254098,1358688154495494860215955702569866
13256498,1368252750647932094877277865947723
13258898,1378317403884087227360779067000000
13261298,1415711903969620595102942375527201
13263698,1428624675851328622930838165212231
13266098,1470667365603966493468087988104101
13268498,1435232524308501127462930304994357
13270898,1469930876587681393199692073904691
13273298,1479423748185193909069760875761585
13275698,1465917005072068769182263441645416
13278098,1440889447471325015785929537885399
13280498,1418111852676174767396974428192357
13282898,1422557654650875197622558918925196
13285298,1413835067892232956493364249183364
13287698,1472790670197072379540446350000000
13290098,1471612490518782188282178414630760
13292498,1466364990175772687827175837996516
13294898,1466093005412660218250103404840994
13297298,1466445288863503745934542673008339
13299698,1486302312058088860223244598772506
13302098,1439585805007918637553215769292790
13304498,1430864607911974280970364256679359
13306898,1416565116742852316855549881355715
13309298,1448073947671168585659114389860923
13311698,1464023189245777483441438956090908
13314098,1465431004854773941239002613480297
13316498,1480035669620173561862608974646413
13318898,1469361822201936657099502898142065
13321298,1465161380416823700876429945053993
13323698,1487373717712835993881186038728776
13326098,1455495484242046645645838762822458
13328498,1447322150025008072093450120666063
13330898,1449064893114136869655352246606272
13333298,1393085854982590099256314790729192
13335698,1382663179031742501102102810902087
13338098,1382821852235286143674786469870056
13340498,1365073443309651146496379328293725
13342898,1363164127528031661329109430081143
13345298,1361555081523996906053298754387281
13347698,1346971831610059431668472031641034
13350098,1367032525899833833575777258271324
13352498,1374949434526098990719041827348447
13354898,1360185797079799169319920216657659
13357298,1361573993899181851286989311504185
13359698,1351780931807526205245721847000000
13362098,1335248257408903880226123629547756
13364498,1364656539059676336567220848620236
13366898,1323964257582129568296002976352337
13369298,1333303010559976880131651068515825
13371698,1324578603982949306386314694096063
13374098,1315860915372333848081601625152079
13376498,1323705838353674203221564448220190
13378898,1311679939075437618143139969057428
13381298,1329998694853660528702868087437348
13383698,1324189951045787550319091406289878
13386098,1321225230026109655778898785946386
13388498,1332712428095384027570414583155802
13390898,1331630058845392454071817186734433
13393298,1348600906648902938617485781939852
13395698,1335325657628375080007904732520105
13398098,1321520954235573137838866474865534
13400498,1339997387806030507181303009580223
13402898,1343948071857228636677946557604599
13405298,1340438672013770041970616658862816
13407698,1339066335563756911236446583899855
13410098,1347864594373654585657398557542787
13412498,1322863593480757253054350843757092
13414898,1314937955576111398985450433729537
13417298,1282548810729100099121316471751127
13419698,1295576884502064459925778710425896
13422098,1292573598288164692424419853008548
13424498,1276880072671696742363829931633191
13426898,1277016463800786015799623482461957
13429298,1269157750568932357673889210562669
13431698,1283574075324646131619481443778458
13434098,1267651313777540613072493660605282
13436498,1285002542486433444486909154001176
13438898,1271514264730194237316434957182101
13441298,1289228815573071832890632569535408
13443698,1299454019433422885843186801848513
13446098,1279260502221863454843223669565400
13448498,1280217829900902389156453192534786
13450898,1276651786501857857119455320764917
13453298,1277112137105070327721094149612654
13455698,1238462549377312929955378323741763
13458098,1217235343052677235988143892376428
13460498,1208424654261229274532862627729571
13462898,1235886792985025903257587309965314
13465298,1230137581839515267440060421946165
13467698,1235387842283854380035055131838939
13470098,1260857376696353602250966548642804
13472498,1251404757127037974375413566720018
13474898,1237982719001955607360531817626442
13477298,1232147187576672231822130535801819
13479698,1237993580034435753062771674118295
13482098,1249533636016048538373331039438030
13484498,1231429838761782705698170264684414
13486898,1229329757171629154748457521099202
13489298,1221529148210073975844396843178213
13491698,1224194414251541280612752921954329
13494098,1225865206548186961126669975829300
