block_number,sqrt_price_x96
16741748,3862183976875326329580656804
16748948,3583835732891128112598878477
16756148,3747242187451724648251341713
16763348,3749377654172175124843294611
16770548,3650813229951593310398778319
16777748,3607655775133075159644189820
16784948,3559297501351508758293991623
16792148,3204038189774379526625243533
16799348,3168030496634212041459476752
16806548,2903325363413560850542478515
16813748,2896094028820006660234292727
16820948,3018542600326121767090369330
16828148,3029350301401665257815910566
16835348,2886607681636338264698213378
16842548,2881965115332752349525238098
16849748,2841506550161037551806772774
16856948,2828029349468045371326380085
16864148,2742668444705278166467118825
16871348,2676774090774946556874990686
16878548,2640361305201846943860261838
16885748,2683668394205201185250168398
16892948,2605789670679931684330939837
16900148,2506281914123461704794627652
16907348,2399789235715690916694827317
16914548,2349054300216820354659991977
16921748,2350922217247642248117662597
16928948,2337111960916163568201240158
16936148,2335085753074865072579227949
16943348,2304549741081973047557946960
16950548,2246337846569786783677459429
16957748,2179099445584985760846424738
16964948,2158865391787785400442431316
16972148,2143265746276844047688272962
16979348,2126787602941049501021915450
16986548,2104476236818366983529124294
16993748,2174068682747850642735298358
17000948,2338088514681142987941324786
17008148,2344902905683092532458030249
17015348,2316533427440543441527947554
17022548,2348747660993477135190957126
17029748,2396229508050844682760009472
17036948,2541886671449867071819220045
17044148,2476461244113939338759973022
17051348,2391765581827324451314581321
17058548,2355808574830678589186840059
17065748,2304328979868461276310721634
17072948,2299384487205865593382710965
17080148,2272672003375289551975055108
17087348,2228076355940718987043989308
17094548,2221812741138599542749112765
17101748,2218423576086055488963198048
17108948,2240204812422967853990207945
17116148,2189160366790036908841525454
17123348,2222475766950579125169712921
17130548,2382873060834485498441065835
17137748,2336727923744649704164728185
17144948,2289630646671214310223372670
17152148,2292201446740713779106979766
17159348,2293375021182328661668223388
17166548,2269493531499936230954541597
17173748,2247739375800379126459472992
17180948,2231675902970165789595577745
17188148,2227171531364292365148298906
17195348,2224276340888690966144893134
17202548,2240627706622625986617948749
17209748,2260819374901593223759218571
17216948,2258578221296103583245132207
17224148,2238429035653644835934049943
17231348,2185395599484906228047728024
17238548,2186177171954152021259442394
17245748,2152834646836799195836958335
17252948,2138902101062390315035309791
17260148,2133963577149735828059816808
17267348,2123288465824309964382452381
17274548,2122560770492215776061334578
17281748,2126740441635280123476951460
17288948,2103413374829599660296997130
17296148,2089314206831162595504746768
17303348,2094138852443993405992087862
17310548,2063489417370176825396854468
17317748,2067684328530926438280129159
17324948,2057019103463584965934026917
17332148,2063508567594119511417166763
17339348,2051623183707138789413968661
17346548,2046801032301689671235297577
17353748,2054422524480108680405613390
17360948,2041199868210749103132113299
17368148,2043858217913365502978755812
17375348,2101431159113741998687965443
17382548,2050861703754246455536982721
17389748,2050832090859205432246730405
17396948,2105067481668598372996516939
17404148,2124101526534144698799203732
17411348,2445364627576132696017801583
17418548,2299060085088613299625161764
17425748,2393328261940690985203543825
17432948,2389398185361499798067661768
17440148,2320675895151870713863592258
17447348,2341738429213687822009854662
17454548,2298443798413277061829876589
17461748,2327201832461383194549877250
17468948,2323657670556269693567919849
17476148,2335706322371344202354110177
17483348,2324476709681136192239092617
17490548,2353456339145546851675417480
17497748,2452338186594811949530864830
17504948,2520741431281485020595432172
17512148,2636937397265201720504574332
17519348,2623373968899575056283522369
17526548,2661237874286796590195600275
17533748,2619667611913372306041688446
17540948,2544708647560915287895790046
17548148,2448515052530929800683222979
17555348,2415673579725539207468946100
17562548,2409986154650358313741574815
17569748,2371312341815301072774216136
17576948,2328963434772528669777659145
17584148,2293303030719592919102880277
17591348,2262261800591896213996931711
17598548,2308554704281299353956216450
17605748,2317139210569939026316253647
17612948,2330969871147424293963222832
17620148,2351064030615691320470490249
17627348,2324657203278090157883460319
17634548,2306104725485765692842011822
17641748,2365717526159849867370487292
17648948,2363464549126788349474266713
17656148,2354144859647886030569571361
17663348,2381876994668369169423200102
17670548,2417475322285717580414422248
17677748,2416902858617367026861762053
17684948,2400765307108858821539166916
17692148,2436071620740347208327819974
17699348,2440189128393676913561106393
17706548,2453748455145127831988816423
17713748,2408424188188162400816903616
17720948,2366475542754536826034775241
17728148,2372609579900183356904594845
17735348,2427251832283331911048804957
