number,values0,values1,values2,values3,sqrtPriceX96,tick,liquidity,position_token_id,position_liquidity,position_tick_lower,position_tick_upper,position_amount0,position_amount1
16219693,914641075,808038150941257463,0,5098674381528,2302457180693885351454651093163492,205553,31203981017892687890,1,3639486779214638,205400,205700,932459202,797845900852582816
16222093,34778445,1556381323475889528,2696690,2678714668851297,2318747899162385489001287554456344,205694,17540821031132433136,1,3639486779214638,205400,205700,932459202,797845900852582816
16224493,1878777640,0,5647647,4388546285824425,2280425969616657314568929983238151,205361,30523448134936311091,1,3639486779214638,205400,205700,932459202,797845900852582816
16226893,1878777640,0,5647647,4388546285824425,2266012770497242894086255374140612,205234,20905059435363221456,1,3639486779214638,205400,205700,932459202,797845900852582816
16229293,1878777640,0,5647647,4388546285824425,2270435262486917424056195007509857,205273,22227312718227892744,1,3639486779214638,205400,205700,932459202,797845900852582816
16231693,1878777640,0,5647647,4388546285824425,2275703596294866001551435142483199,205319,22737464002634911280,1,3639486779214638,205400,205700,932459202,797845900852582816
16234093,1878777640,0,5647647,4388546285824425,2272920569657780836424575412085603,205295,46555465465107464655,1,3639486779214638,205400,205700,932459202,797845900852582816
16236493,1878777640,0,5647647,4388546285824425,2275732877226366029629403759490668,205319,29001499457139979699,1,3639486779214638,205400,205700,932459202,797845900852582816
16238893,1878777640,0,5647647,4388546285824425,2274740167921692629443616837354464,205311,31485966568595190915,1,3639486779214638,205400,205700,932459202,797845900852582816
16241293,1014010894,724182178714418016,6639200,5583952915995129,2300631716006577619818717260285935,205537,22618611010766339865,1,3639486779214638,205400,205700,932459202,797845900852582816
16243693,1878777640,0,7951376,6324816758315430,2270824349001401756389526076262986,205276,22381477162560579800,1,3639486779214638,205400,205700,932459202,797845900852582816
16246093,1878777640,0,7951376,6324816758315430,2266216588496224172254804411624938,205236,22728336445874518659,1,3639486779214638,205400,205700,932459202,797845900852582816
16248493,1878777640,0,7951376,6324816758315430,2269782469176920445513960727061014,205267,24520173141659983885,1,3639486779214638,205400,205700,932459202,797845900852582816
16250893,1878777640,0,7951376,6324816758315430,2268318100384631286503934121351000,205254,24021694853194625550,1,3639486779214638,205400,205700,932459202,797845900852582816
16253293,1878777640,0,7951376,6324816758315430,2268286731158999893110011846751513,205254,25077936307355277000,1,3639486779214638,205400,205700,932459202,797845900852582816
16255693,1878777640,0,7951376,6324816758315430,2269869087596540109532934287558589,205268,29040769306209328916,1,3639486779214638,205400,205700,932459202,797845900852582816
16258093,1878777640,0,7951376,6324816758315430,2267587315813470219639532896775164,205248,52934674799180299526,1,3639486779214638,205400,205700,932459202,797845900852582816
16260493,1878777640,0,7951376,6324816758315430,2268526464772877677599875107247126,205256,33919981157358144666,1,3639486779214638,205400,205700,932459202,797845900852582816
16262893,1878777640,0,8130119,6473686031036410,2276380951899290357379858535471998,205325,49644562439988786256,1,3639486779214638,205400,205700,932459202,797845900852582816
16265293,1878777640,0,8132864,6475969042816016,2270884431433260243759806907927190,205277,26634674985542752592,1,3639486779214638,205400,205700,932459202,797845900852582816
16267693,1878777640,0,8132864,6475969042816016,2269257000224747449767003218337749,205262,40454737982949317533,1,3639486779214638,205400,205700,932459202,797845900852582816
