number,values0,values1,values2,values3,sqrtPriceX96,tick,liquidity,position_token_id,position_liquidity,position_tick_lower,position_tick_upper,position_amount0,position_amount1
16219693,547148486,483377429148039487,0,3050083850292,2302457180693885351454651093163492,205553,31203981017892687890,1,2177181560927243,205400,205700,557807489,477280311531305099
16222093,20804853,931044656789343405,1613190,1602436974717315,2318747899162385489001287554456344,205694,17540821031132433136,1,2177181560927243,205400,205700,557807489,477280311531305099
16224493,1123905727,0,3378485,2625277307597328,2280425969616657314568929983238151,205361,30523448134936311091,1,2177181560927243,205400,205700,557807489,477280311531305099
16226893,1123905727,0,3378485,2625277307597328,2266012770497242894086255374140612,205234,20905059435363221456,1,2177181560927243,205400,205700,557807489,477280311531305099
16229293,1123905727,0,3378485,2625277307597328,2270435262486917424056195007509857,205273,22227312718227892744,1,2177181560927243,205400,205700,557807489,477280311531305099
16231693,1123905727,0,3378485,2625277307597328,2275703596294866001551435142483199,205319,22737464002634911280,1,2177181560927243,205400,205700,557807489,477280311531305099
16234093,1123905727,0,3378485,2625277307597328,2272920569657780836424575412085603,205295,46555465465107464655,1,2177181560927243,205400,205700,557807489,477280311531305099
16236493,1123905727,0,3378485,2625277307597328,2275732877226366029629403759490668,205319,29001499457139979699,1,2177181560927243,205400,205700,557807489,477280311531305099
16238893,1123905727,0,3378485,2625277307597328,2274740167921692629443616837354464,205311,31485966568595190915,1,2177181560927243,205400,205700,557807489,477280311531305099
16241293,606592620,433213851813847765,3971643,3340382879042609,2300631716006577619818717260285935,205537,22618611010766339865,1,2177181560927243,205400,205700,557807489,477280311531305099
16243693,1123905727,0,4756602,3783575887977109,2270824349001401756389526076262986,205276,22381477162560579800,1,2177181560927243,205400,205700,557807489,477280311531305099
16246093,1123905727,0,4756602,3783575887977109,2266216588496224172254804411624938,205236,22728336445874518659,1,2177181560927243,205400,205700,557807489,477280311531305099
16248493,1123905727,0,4756602,3783575887977109,2269782469176920445513960727061014,205267,24520173141659983885,1,2177181560927243,205400,205700,557807489,477280311531305099
16250893,1123905727,0,4756602,3783575887977109,2268318100384631286503934121351000,205254,24021694853194625550,1,2177181560927243,205400,205700,557807489,477280311531305099
16253293,1123905727,0,4756602,3783575887977109,2268286731158999893110011846751513,205254,25077936307355277000,1,2177181560927243,205400,205700,557807489,477280311531305099
16255693,1123905727,0,4756602,3783575887977109,2269869087596540109532934287558589,205268,29040769306209328916,1,2177181560927243,205400,205700,557807489,477280311531305099
16258093,1123905727,0,4756602,3783575887977109,2267587315813470219639532896775164,205248,52934674799180299526,1,2177181560927243,205400,205700,557807489,477280311531305099
16260493,1123905727,0,4756602,3783575887977109,2268526464772877677599875107247126,205256,33919981157358144666,1,2177181560927243,205400,205700,557807489,477280311531305099
16262893,1123905727,0,4863528,3872631146374478,2276380951899290357379858535471998,205325,49644562439988786256,1,2177181560927243,205400,205700,557807489,477280311531305099
16265293,1123905727,0,4865170,3873996869469922,2270884431433260243759806907927190,205277,26634674985542752592,1,2177181560927243,205400,205700,557807489,477280311531305099
16267693,1123905727,0,4865170,3873996869469922,2269257000224747449767003218337749,205262,40454737982949317533,1,2177181560927243,205400,205700,557807489,477280311531305099
