number,values0,values1,values2,values3,sqrtPriceX96,tick,liquidity,position_token_id,position_liquidity,position_tick_lower,position_tick_upper,position_amount0,position_amount1
16219693,548710809,490269292433417244,0,3842838944174,2302457180693885351454651093163492,205553,31203981017892687890,1,2743058388400388,205430,205670,557807489,482587457565567458
16222093,0,956391195433046207,1405231,1433226182196407,2318747899162385489001287554456344,205694,17540821031132433136,1,2743058388400388,205430,205670,557807489,482587457565567458
16224493,1132814528,0,3347279,2591483255026092,2280425969616657314568929983238151,205361,30523448134936311091,1,2743058388400388,205430,205670,557807489,482587457565567458
16226893,1132814528,0,3347279,2591483255026092,2266012770497242894086255374140612,205234,20905059435363221456,1,2743058388400388,205430,205670,557807489,482587457565567458
16229293,1132814528,0,3347279,2591483255026092,2270435262486917424056195007509857,205273,22227312718227892744,1,2743058388400388,205430,205670,557807489,482587457565567458
16231693,1132814528,0,3347279,2591483255026092,2275703596294866001551435142483199,205319,22737464002634911280,1,2743058388400388,205430,205670,557807489,482587457565567458
16234093,1132814528,0,3347279,2591483255026092,2272920569657780836424575412085603,205295,46555465465107464655,1,2743058388400388,205430,205670,557807489,482587457565567458
16236493,1132814528,0,3347279,2591483255026092,2275732877226366029629403759490668,205319,29001499457139979699,1,2743058388400388,205430,205670,557807489,482587457565567458
16238893,1132814528,0,3347279,2591483255026092,2274740167921692629443616837354464,205311,31485966568595190915,1,2743058388400388,205430,205670,557807489,482587457565567458
16241293,623605220,427067571424847420,4009767,3362329800995257,2300631716006577619818717260285935,205537,22618611010766339865,1,2743058388400388,205430,205670,557807489,482587457565567458
16243693,1132814528,0,4927430,3920714238313581,2270824349001401756389526076262986,205276,22381477162560579800,1,2743058388400388,205430,205670,557807489,482587457565567458
16246093,1132814528,0,4927430,3920714238313581,2266216588496224172254804411624938,205236,22728336445874518659,1,2743058388400388,205430,205670,557807489,482587457565567458
16248493,1132814528,0,4927430,3920714238313581,2269782469176920445513960727061014,205267,24520173141659983885,1,2743058388400388,205430,205670,557807489,482587457565567458
