number,values0,values1,values2,values3,sqrtPriceX96,tick,liquidity,feeGrowthGlobal0X128,feeGrowthGlobal1X128,position_token_id,position_liquidity,position_tick_lower,position_tick_upper,position_amount0,position_amount1,position_fees0_cumulative,position_fees1_cumulative
16219693,1184180473737,1000096373981086032955,0,48211096091070,2302457180693885351454651093163492,205553,31203981017892687890,2181620581902003936411883992456929,1026699780925062056301321001565722942741084,-1,34413581591046522,-887270,887270,1184294597923,1000000000000000000000,0,0
16222093,1175860832468,1007172418046749714633,36870369,35121222243234717,2318747899162385489001287554456344,205694,17540821031132433136,2181985157052788187585985499073660,1027046583748145707407639599439896464086763,-1,34413581591046522,-887270,887270,1184294597923,1000000000000000000000,0,0
16224493,1195620849490,990526886870751338638,79507064,62541008198979213,2280425969616657314568929983238151,205361,30523448134936311091,2182406749771601875934982373447527,1027317711286579945199071017760952647928490,-1,34413581591046522,-887270,887270,1184294597923,1000000000000000000000,0,0
16226893,1203225714564,984266362984504881565,110750550,85149890953964578,2266012770497242894086255374140612,205234,20905059435363221456,2182715686150892854181613442855243,1027541268492241619844457934521929909830784,-1,34413581591046522,-887270,887270,1184294597923,1000000000000000000000,0,0
16229293,1200989209550,986275362611888780077,23041406,19906669647239693,2270435262486917424056195007509857,205273,22227312718227892744,2182943499819872818882169549269372,1027738088574684734465475778290005927962009,-1,34416653935879386,-887270,887270,1203333135233,984354235432958918525,110750550,85149890953964578
16231693,1198208877319,988563922837606687485,35355523,31224311952106675,2275703596294866001551435142483199,205319,22737464002634911280,2183065251251198923921514215795779,1027849987718588721288910282834966288550159,-1,34416653935879386,-887270,887270,1203333135233,984354235432958918525,110750550,85149890953964578
16234093,1199675997318,987354978169154361267,55780022,47431708908669414,2272920569657780836424575412085603,205295,46555465465107464655,2183267191192711091143230870573939,1028010232564246331742465106811346190008654,-1,34416653935879386,-887270,887270,1203333135233,984354235432958918525,110750550,85149890953964578
16236493,1198250095254,988623369332851184182,10349966,9065297917886740,2275732877226366029629403759490668,205319,29001499457139979699,2183369517946358519595843104613451,1028099858221584071205440357113084946732029,-1,34418280701892579,-887270,887270,1199732703432,987401647305684460793,166530572,132581599862633992
16238893,1198773018283,988192116777959757057,17051116,14373368400294575,2274740167921692629443616837354464,205311,31485966568595190915,2183435770044943225007152139634739,1028152337391103935831083213707735221506276,-1,34418280701892579,-887270,887270,1199732703432,987401647305684460793,166530572,132581599862633992
16241293,1185281902330,999439917326554815057,36298901,35998231709218469,2300631716006577619818717260285935,205537,22618611010766339865,2183626066643574305872624282408703,1028366135393823396200897558729315894880961,-1,34418280701892579,-887270,887270,1199732703432,987401647305684460793,166530572,132581599862633992
