number,values0,values1,values2,values3,sqrtPriceX96,tick,liquidity,feeGrowthGlobal0X128,feeGrowthGlobal1X128,position_token_id,position_liquidity,position_tick_lower,position_tick_upper,position_amount0,position_amount1,position_fees0_cumulative,position_fees1_cumulative
18648491,283543825618121634921508,999999999999999999999,0,0,4705106806636024133107504816,-56477,134277252253244812363549,2440808540949895184331901495783384173933,4345393370145094858923975689647192844,-1,16838759622315464218760,-887200,887200,283543825618121634921508,1000000000000000000000,0,0
18650891,276705652177724382426345,1024712807225221348565,0,249624315406276250,4821383204122497016787556541,-55989,158701016739052850747715,2440808540949895184331901495783384173933,4350437848170358471472936883142681353,-1,16838759622315464218760,-887200,887200,283543825618121634921508,1000000000000000000000,0,0
18653291,269978788384675321337719,1050244825953209216670,4558105149098465810,524868046596318968,4941514079226711177658045696,-55496,109796199940500032224973,2440900652414373496200872860962647482514,4356000050519596543804946890812405822,-1,16838759622315464218760,-887200,887200,283543825618121634921508,1000000000000000000000,0,0
18655691,268520220550987773044298,1055949622848909865315,4558105149098465810,582492257664002289,4968355757931148360213776974,-55388,86961756806748576574666,2440900652414373496200872860962647482514,4357164536703488436236153854820895020,-1,16838759622315464218760,-887200,887200,283543825618121634921508,1000000000000000000000,0,0
18658091,267673526007304335006400,1059889316355538736829,26266890077746027343,139299598357847520,4985481753149497923361074352,-55319,86807854606468260537735,2441431310925843818006174433134711381552,4359978745667480575457377519003776651,-1,16843524289362909640181,-887200,887200,268596200580106814488576,1056248412574792332215,4558105149098465810,582492257664002289
18660491,260500074612002813911345,1089075736000907604212,50868596357501708894,534756777332036192,5122768128562815047312090821,-54776,62200900025075660870662,2441928328456103551070459965344677724937,4367967994387963405867359071652731032,-1,16843524289362909640181,-887200,887200,268596200580106814488576,1056248412574792332215,4558105149098465810,582492257664002289
18662891,263853682782523246094504,1075233468392391529941,145596259068953279656,790438062540370620,5057657204696006515144991525,-55032,112634127277226325296295,2443842070065435138899859407938442233622,4373133411756288429341765573894314565,-1,16843524289362909640181,-887200,887200,268596200580106814488576,1056248412574792332215,4558105149098465810,582492257664002289
18665291,271299574605042766648177,1047068642694217710195,84199828699039305594,42798891118117942,4922011274515521510551887309,-55576,133565533121124897146222,2445542029349685009440448685093091556428,4373997503446687248959994205118174606,-1,16854354848086615081310,-887200,887200,264023343404418567503872,1075924854531126854568,150154364218051745466,1372930320204372909
18667691,270061926578494088999985,1051867180776611357626,139517035670818464745,300555869167481858,4944568017769679944698315635,-55484,137724196509984742987648,2446658860595346683589855017816122187571,4379201508902344497044593709968521344,-1,16854354848086615081310,-887200,887200,264023343404418567503872,1075924854531126854568,150154364218051745466,1372930320204372909
18670091,271066093574034592113087,1047970528514790858047,160036014418358816891,340762871198272656,4926250817174123591782628411,-55558,137724196509984742987648,2447073130184301381648322271486703843924,4380013271437377731279938902314703809,-1,16854354848086615081310,-887200,887200,264023343404418567503872,1075924854531126854568,150154364218051745466,1372930320204372909
