number,values0,values1,values2,values3,sqrtPriceX96,tick,liquidity,position_token_id,position_liquidity,position_tick_lower,position_tick_upper,position_amount0,position_amount1
16219693,1184180473737,1000096373981086032955,0,48211096091070,2302457180693885351454651093163492,205553,31203981017892687890,-1,34413581591046522,-887270,887270,1184294597923,1000000000000000000000
16222093,1175860832468,1007172418046749714633,36870369,35121222243234717,2318747899162385489001287554456344,205694,17540821031132433136,-1,34413581591046522,-887270,887270,1184294597923,1000000000000000000000
16224493,1195620849490,990526886870751338638,79507064,62541008198979213,2280425969616657314568929983238151,205361,30523448134936311091,-1,34413581591046522,-887270,887270,1184294597923,1000000000000000000000
16226893,1203225714564,984266362984504881565,110750550,85149890953964578,2266012770497242894086255374140612,205234,20905059435363221456,-1,34413581591046522,-887270,887270,1184294597923,1000000000000000000000
16229293,1200989209550,986275362611888780077,23041406,19906669647239693,2270435262486917424056195007509857,205273,22227312718227892744,-1,34416653935879386,-887270,887270,1203333135233,984354235432958918525
16231693,1198208877319,988563922837606687485,35355523,31224311952106675,2275703596294866001551435142483199,205319,22737464002634911280,-1,34416653935879386,-887270,887270,1203333135233,984354235432958918525
16234093,1199675997318,987354978169154361267,55780022,47431708908669414,2272920569657780836424575412085603,205295,46555465465107464655,-1,34416653935879386,-887270,887270,1203333135233,984354235432958918525
16236493,1198250095254,988623369332851184182,10349966,9065297917886740,2275732877226366029629403759490668,205319,29001499457139979699,-1,34418280701892579,-887270,887270,1199732703432,987401647305684460793
16238893,1198773018283,988192116777959757057,17051116,14373368400294575,2274740167921692629443616837354464,205311,31485966568595190915,-1,34418280701892579,-887270,887270,1199732703432,987401647305684460793
16241293,1185281902330,999439917326554815057,36298901,35998231709218469,2300631716006577619818717260285935,205537,22618611010766339865,-1,34418280701892579,-887270,887270,1199732703432,987401647305684460793
16243693,1200880200403,986523878266426591034,31750775,19825784251804234,2270824349001401756389526076262986,205276,22381477162560579800,-1,34419427546593797,-887270,887270,1185321397053,999473219465708717782
16246093,1203321877155,984522109276372550834,45086342,29740187585528264,2266216588496224172254804411624938,205236,22728336445874518659,-1,34419427546593797,-887270,887270,1185321397053,999473219465708717782
16248493,1201431430694,986071249983844170935,87852999,65377247086420030,2269782469176920445513960727061014,205267,24520173141659983885,-1,34419427546593797,-887270,887270,1185321397053,999473219465708717782
16250893,1202290851675,985503773835949550517,6539988,5045865882994924,2268318100384631286503934121351000,205254,24021694853194625550,-1,34421826964505422,-887270,887270,1201515184260,986139990145665507977
16253293,1202307478732,985490145019851487588,9836650,7746469790359835,2268286731158999893110011846751513,205254,25077936307355277000,-1,34421826964505422,-887270,887270,1201515184260,986139990145665507977
16255693,1201469333929,986177622777263495552,11539798,9488078219034340,2269869087596540109532934287558589,205268,29040769306209328916,-1,34421826964505422,-887270,887270,1201515184260,986139990145665507977
