number,values0,values1,values2,values3,sqrtPriceX96,tick,liquidity,feeGrowthGlobal0X128,feeGrowthGlobal1X128,position_token_id,position_liquidity,position_tick_lower,position_tick_upper,position_amount0,position_amount1,position_fees0_cumulative,position_fees1_cumulative
16219693,1183500846914,1000324370915900717798,0,162266592539513,2302457180693885351454651093163492,205553,31203981017892687890,2181620581902003936411883992456929,1026699780925062056301321001565722942741084,-1,115827580673777112,198500,212600,1183884960619,1000000000000000000000,0,0
16222093,1155498997770,1024140580301095886914,124096520,118209323606070371,2318747899162385489001287554456344,205694,17540821031132433136,2181985157052788187585985499073660,1027046583748145707407639599439896464086763,-1,115827580673777112,198500,212600,1183884960619,1000000000000000000000,0,0
16224493,1222006314357,968115850644725563540,267601060,210497522712698571,2280425969616657314568929983238151,205361,30523448134936311091,2182406749771601875934982373447527,1027317711286579945199071017760952647928490,-1,115827580673777112,198500,212600,1183884960619,1000000000000000000000,0,0
16226893,1247602404101,947044479925120424730,372758885,286593414804568437,2266012770497242894086255374140612,205234,20905059435363221456,2182715686150892854181613442855243,1027541268492241619844457934521929909830784,-1,115827580673777112,198500,212600,1183884960619,1000000000000000000000,0,0
16229293,1194165240379,990383485651749894775,75464915,65198066858390139,2270435262486917424056195007509857,205273,22227312718227892744,2182943499819872818882169549269372,1027738088574684734465475778290005927962009,-1,112720979657422747,197950,212510,1203011872086,984091434775017218826,372758885,286593414804568437
16231693,1185059132233,997878948491587513231,115795951,102265462497538625,2275703596294866001551435142483199,205319,22737464002634911280,2183065251251198923921514215795779,1027849987718588721288910282834966288550159,-1,112720979657422747,197950,212510,1203011872086,984091434775017218826,372758885,286593414804568437
16234093,1189864224668,993919428555876993539,182690008,155347719303913551,2272920569657780836424575412085603,205295,46555465465107464655,2183267191192711091143230870573939,1028010232564246331742465106811346190008654,-1,112720979657422747,197950,212510,1203011872086,984091434775017218826,372758885,286593414804568437
16236493,1194048991934,989680465732570378969,34155066,29915639650889223,2275732877226366029629403759490668,205319,29001499457139979699,2183369517946358519595843104613451,1028099858221584071205440357113084946732029,-1,113580920583909395,198090,212510,1198941620434,986750571734002377578,555448893,441941134108481988
16238893,1195774646959,988257324855401642155,56268978,47432363892231302,2274740167921692629443616837354464,205311,31485966568595190915,2183435770044943225007152139634739,1028152337391103935831083213707735221506276,-1,113580920583909395,198090,212510,1198941620434,986750571734002377578,555448893,441941134108481988
16241293,1151253731376,1025375260870822051643,119787000,118794786187593717,2300631716006577619818717260285935,205537,22618611010766339865,2183626066643574305872624282408703,1028366135393823396200897558729315894880961,-1,113580920583909395,198090,212510,1198941620434,986750571734002377578,555448893,441941134108481988
16243693,1235998784685,954109881926308932472,106586422,66554575937857047,2270824349001401756389526076262986,205276,22381477162560579800,2183939965796505454835889521331865,1028562139954972334987427352026940913246314,-1,115545008222253566,198480,212600,1183768337814,998163666528093812869,675235893,560735920296075705
16246093,1244195421890,947390002169397183188,151353528,99836936987096744,2266216588496224172254804411624938,205236,22728336445874518659,2184071805819877941021375063327361,1028660157175870081224028336144565927779387,-1,115545008222253566,198480,212600,1183768337814,998163666528093812869,675235893,560735920296075705
16248493,1237849248598,952590422064235025622,294919941,219469499948039173,2269782469176920445513960727061014,205267,24520173141659983885,2184494611788140767301365371922731,1029012477473488332647613239790931422352185,-1,115545008222253566,198480,212600,1183768337814,998163666528093812869,675235893,560735920296075705
16250893,1202111254016,981792631295164999207,21895051,16892917840398115,2268318100384631286503934121351000,205254,24021694853194625550,2184559263873426386784046276360862,1029062359171737575891830113406204068903210,-1,115239902984233848,198190,212350,1199514416735,984497866189710599160,970155834,780205420244114878
16253293,1202166919291,981747003750568070434,32931855,25934196579161506,2268286731158999893110011846751513,205254,25077936307355277000,2184591853536041887866134837387376,1029089056415049549841424095120802400250974,-1,115239902984233848,198190,212350,1199514416735,984497866189710599160,970155834,780205420244114878
16255693,1199360916987,984048591930349241003,38633777,31764880306783851,2269869087596540109532934287558589,205268,29040769306209328916,2184608690270727064184641994544966,1029106273358210931859729188393774964221594,-1,115239902984233848,198190,212350,1199514416735,984497866189710599160,970155834,780205420244114878
16258093,1203203661750,980562791705430603984,20350861,14994263895613436,2267587315813470219639532896775164,205248,52934674799180299526,2184668792871806407698302801207641,1029150556214025984227733343164187893285505,-1,115220292700774127,198190,212350,1199156822682,984279490722231122597,1008789611,811970300550898729
16260493,1201537047195,981928581527617539825,58872590,47377725694927464,2268526464772877677599875107247126,205256,33919981157358144666,2184782559854102670656604383249535,1029246194931580555531661313323806387162158,-1,115220292700774127,198190,212350,1199156822682,984279490722231122597,1008789611,811970300550898729
16262893,1187652312139,993351240806845359448,105088450,91294800277934068,2276380951899290357379858535471998,205325,49644562439988786256,2184919050067728426446156795514439,1029375896095646843902986329258884743891029,-1,115220292700774127,198190,212350,1199156822682,984279490722231122597,1008789611,811970300550898729
16265293,1205350681011,977897610130794715772,49479744,36809489780721016,2270884431433260243759806907927190,205277,26634674985542752592,2185064210672556933699567706035662,1029483885492429931814336709810509721543337,-1,115989353407495521,198310,212350,1195579533159,986981903609034154191,1113878061,903265100828832797
16267693,1208252842899,975515064737840631246,67151549,50100829612771365,2269257000224747449767003218337749,205262,40454737982949317533,2185116055117756376728453349939139,1029522878800390801662519427537219012409825,-1,115989353407495521,198310,212350,1195579533159,986981903609034154191,1113878061,903265100828832797
16270093,1203579123590,979353660160275359726,83483446,65436012071842199,2271879006926403194390768592727484,205285,27835644005111215114,2185163968621239703633104609626768,1029567868207013356917879692141766935390770,-1,115989353407495521,198310,212350,1195579533159,986981903609034154191,1113878061,903265100828832797
16272493,1215133583241,969114572712613236753,37680639,23569142209391885,2261906885359996220194928071595333,205197,29663399384497135108,2185275084927974608705752291413103,1029637371168613714066232513756297486639366,-1,115393118690741596,198230,212350,1197392213869,984572403580201051151,1197361507,968701112900674996
16274893,1202415805758,979513059820202070880,52642274,41006558764666516,2269046418772473712656074338185071,205261,30471760488793203094,2185319205242322962239106233698814,1029688792305729503679155523946433842588600,-1,115393118690741596,198230,212350,1197392213869,984572403580201051151,1197361507,968701112900674996
16277293,1190062119399,989676898948205429241,151106614,127347333133648393,2276024844412917884940926155388337,205322,30145442851259332519,2185609566391265181882051750603396,1029943402315385314572968641726860203490532,-1,115393118690741596,198230,212350,1197392213869,984572403580201051151,1197361507,968701112900674996
16279693,1190921990001,988661570015320091593,57360445,48791826005974689,2277864199504929741569984152946834,205338,30318983097693550206,2185781332556535506787555101866711,1030089509703901444040088708606953697919504,-1,113635581392071664,198130,212510,1194792255508,986023414863953420717,1348468121,1096048446034323389
16282093,1166585332614,1008902934932433289180,126083810,116411753739760328,2291976734764730524647172976596684,205462,44527166884556337562,2185987125048417094131997345335928,1030291997945510253924596438562495654682064,-1,113635581392071664,198130,212510,1194792255508,986023414863953420717,1348468121,1096048446034323389
16284493,1162924424318,1011969520120255385970,199953484,179719695641819622,2294114796687310314301475091637603,205480,28481803172235453393,2186208328189786161806190823770175,1030481573922078707664583359257287880025585,-1,113635581392071664,198130,212510,1194792255508,986023414863953420717,1348468121,1096048446034323389
16286893,1181885156072,996228410124184831003,63746602,54795835905856717,2295881444796256987966137647897260,205496,29388705238004048072,2186397670089474171426180823523975,1030644330009214203719849689798992904236076,-1,114564420094059174,198360,212600,1185148376836,993673825876768736662,1548421605,1275768141676143011
16289293,1182901913670,995374827633720731457,86020034,73052274809644537,2295291141347609522084232124270962,205491,30354505090207648262,2186463827243984030081956569433420,1030698555782247646309685912992037294766175,-1,114564420094059174,198360,212600,1185148376836,993673825876768736662,1548421605,1275768141676143011
16291693,1198575344823,982272073998538361399,140904562,111511439468861378,2286229801941009335625930386336055,205411,32016602782266760500,2186626846767906978899314748077086,1030812788242633652746459149840103992476135,-1,114564420094059174,198360,212600,1185148376836,993673825876768736662,1548421605,1275768141676143011
16294093,1188525975941,990417364810861464572,45738608,38184296900726747,2286334150877394754501952976104435,205412,33278324098993428204,2186762400039572340082748234154326,1030925953170323441127017006049375889182762,-1,114818638546822814,198310,212510,1189244999697,990266140773493979472,1689326167,1387279581145004389
16296493,1170911531364,1005151210418669769880,64196454,61025319309582690,2296500928057908692686916531695235,205501,25828375606727121241,2186817102649741491078705040701727,1030993645988027512120537690367160735293844,-1,114818638546822814,198310,212510,1189244999697,990266140773493979472,1689326167,1387279581145004389
16298893,1177082473000,999974552321344038560,103612760,91538189277104792,2292928885102108861005253506423459,205470,43372356658723235500,2186933918824591557745529711065820,1031084075484017965589450247990409849533179,-1,114818638546822814,198310,212510,1189244999697,990266140773493979472,1689326167,1387279581145004389
16301293,1191703624115,987805905872651306981,23411348,16948143396097076,2289356359225518373773655147672726,205439,42378188684941587599,2187002811074626564543566610815012,1031133948549555652890599133319994621852775,-1,115636652521015620,198430,212510,1185594177108,993020149400550569208,1792938927,1478817770422109181
16303693,1188686636365,990326881899122644250,32566144,25869208491724126,2291083599628672870449027371380194,205454,42924927665178825051,2187029750763260560969962345055197,1031160200443570347244632878969067420428843,-1,115636652521015620,198430,212510,1185594177108,993020149400550569208,1792938927,1478817770422109181
16306093,1199545455245,981271066304520630343,59374662,43670326134368726,2284879030281614464207204238742434,205400,32732084478922653996,2187108639817300276736795305472622,1031212583544544117804115187185447041225475,-1,115636652521015620,198430,212510,1185594177108,993020149400550569208,1792938927,1478817770422109181
16308493,1175644734814,1001256063712326454744,26910128,28350953392124098,2293077548305357384347525269683844,205471,32827833995623133669,2187189321949816568883119531721181,1031297585568883404210625217783755167587058,-1,113495291432469749,198200,212600,1189744288773,989511588481639447859,1852313589,1522488096556477907
16310893,1176284111835,1000720557473720018638,43027124,41587332952293071,2292703725085343384815392822002991,205468,34870475237079230830,2187237644037946047443898054320928,1031337270973531915058836425950868210888400,-1,113495291432469749,198200,212600,1189744288773,989511588481639447859,1852313589,1522488096556477907
16313293,1181208443755,996602057353870215478,59152004,52929852033704615,2289828705402217339385757988142539,205443,32041391121869838731,2187285989764684910921931606375411,1031371278192608180835835384268112142612282,-1,113495291432469749,198200,212600,1189744288773,989511588481639447859,1852313589,1522488096556477907
16315693,1184732911626,992966696462723799112,23220653,19970730881740456,2290708496195966610536749903451587,205451,41613998803762160219,2187354586661476291464031810205813,1031430274386397115463453593678170074028032,-1,115188576366333782,198370,212510,1187211382855,991687582501048356292,1911465593,1575417948590182522
16318093,1219795759594,963911607789720228566,88887591,56442985573416701,2270724038015581554839051795576336,205275,34074887299631720643,2187548575527364504250514359499300,1031538018275113620377833634040315016991433,-1,115188576366333782,198370,212510,1187211382855,991687582501048356292,1911465593,1575417948590182522
16320493,1219309741819,964310884723350848103,112055446,75147560400159337,2270998665750238839289948174036779,205278,55631433194615930602,2187617016449420495427776540055757,1031593274075602478928993784958958967622269,-1,115188576366333782,198370,212510,1187211382855,991687582501048356292,1911465593,1575417948590182522
16322893,1192352493764,986210997904499336946,19979717,18158205683245474,2273391323993903897393796352854416,205299,41565434968958756401,2187676051319929098317175394373184,1031646926852807588679257100906762756059773,-1,115164909084026738,198210,212350,1196581023078,983143022573568458965,2023521039,1650565508990341859
16325293,1195609734158,983531294519429175182,34783657,28999488448377555,2271547811269663749874999379747656,205283,44067805984421317765,2187719793113583860249136429994152,1031678960024970184476561204158541458927407,-1,115164909084026738,198210,212350,1196581023078,983143022573568458965,2023521039,1650565508990341859
16327693,1182539296971,994310585422432952914,63902337,58382968126920305,2278963467811610924559834796119597,205348,34868252751847604933,2187805831243252254980839600562232,1031765780568596824914035163351399397902300,-1,115164909084026738,198210,212350,1196581023078,983143022573568458965,2023521039,1650565508990341859
16330093,1212376865922,969415211981052908310,29940338,16385172167243666,2267413241128174794655584358099024,205246,34396560796066577294,2187895248352137791329379734677680,1031814715042307589337914533503405948560928,-1,113939820839439440,198190,212510,1192198890818,986425458830968279675,2087423376,1708948477117262164
