number,values0,values1,values2,values3,sqrtPriceX96,tick,liquidity,feeGrowthGlobal0X128,feeGrowthGlobal1X128,position_token_id,position_liquidity,position_tick_lower,position_tick_upper,position_amount0,position_amount1,position_fees0_cumulative,position_fees1_cumulative
12592730,3003144334,999999999983,0,0,1445744274365268855490107952026,58083,4132067835216,328964609711199846382896985403520207,124972210069213957425317120533491430389,-1,54800951951,-887220,887220,3003144334,1000000000000,0,0
12595130,3060412333,981287489142,590215,133493382,1418690768958060779388996754576,57706,4291732444816,332629508880637679397559238075048458,125801127132194314611490349480348209267,-1,54800951951,-887220,887220,3003144334,1000000000000,0,0
12597530,3037198002,988787801146,888401,254950586,1429534302094308030937678608772,57858,4538238781546,334481069286336788563894678587937555,126555306456622500510858102022209820162,-1,54800951951,-887220,887220,3003144334,1000000000000,0,0
12599930,2949676831,1018126562945,1205144,449507570,1471950648982111557914616693844,58443,4870913699304,336447863516706594991953199333144456,127763393333860099910011686012240837634,-1,54800951951,-887220,887220,3003144334,1000000000000,0,0
12602330,2879292566,1043400332445,521141,262436134,1508211233187670097665247875093,58929,4918416011203,339683256443819688167263583427716224,129392669460940293765312642504378190046,-1,54811083015,-887220,887220,2951637055,1018314784228,1205144,449507570
12604730,2858735822,1050903269194,771049,377547103,1519056556057123276414685265877,59073,4974147790626,341234754118199102030968238701826331,130107310200253273570710480867474207651,-1,54811083015,-887220,887220,2951637055,1018314784228,1205144,449507570
12607130,2824269139,1063728232826,1048209,519773852,1537594746637394805508937237809,59315,6277948342288,342955436052631846507929424125182377,130990293208659907586890031086480828753,-1,54811083015,-887220,887220,2951637055,1018314784228,1205144,449507570
12609530,2854720002,1051499269576,592051,182558588,1520555625822352655425625332884,59092,6603487550421,346632598283340336461209110222692819,132124142850453857486752433233875230199,-1,54788100875,-887220,887220,2827878229,1063282214434,2253353,969281422
12611930,2863188948,1048389069563,942425,301691364,1516058017251747153700975188246,59033,6804262346742,348808729253165095450136211108131469,132864062328529082705045829897166728755,-1,54788100875,-887220,887220,2827878229,1063282214434,2253353,969281422
12614330,2855371954,1051259186389,1141457,384406080,1520208445515273742077388811677,59088,8711748765091,350044889680583948185445214008713890,133377793578428611413550898607014830767,-1,54788100875,-887220,887220,2827878229,1063282214434,2253353,969281422
12616730,2848471849,1054128032303,296705,118093880,1524123990437216534349926447990,59139,9338453791652,351887410997540116764333886831767630,134111148468456922867221087644136795913,-1,54796478225,-887220,887220,2857119371,1051419928716,3394810,1353687502
