number,values0,values1,values2,values3,sqrtPriceX96,tick,liquidity,position_token_id,position_liquidity,position_tick_lower,position_tick_upper,position_amount0,position_amount1
16219693,727478667,649997129566410704,0,5094820992563,2302457180693885351454651093163492,205553,31203981017892687890,1,3636736190112214,205430,205670,745273833,639812582402275677
16222093,0,1267979743721138199,1863051,1900165722848344,2318747899162385489001287554456344,205694,17540821031132433136,1,3636736190112214,205430,205670,745273833,639812582402275677
16224493,1501881115,0,4437809,3435778465189398,2280425969616657314568929983238151,205361,30523448134936311091,1,3636736190112214,205430,205670,745273833,639812582402275677
16226893,1501881115,0,4437809,3435778465189398,2266012770497242894086255374140612,205234,20905059435363221456,1,3636736190112214,205430,205670,745273833,639812582402275677
16229293,1501881115,0,4437809,3435778465189398,2270435262486917424056195007509857,205273,22227312718227892744,1,3636736190112214,205430,205670,745273833,639812582402275677
16231693,1501881115,0,4437809,3435778465189398,2275703596294866001551435142483199,205319,22737464002634911280,1,3636736190112214,205430,205670,745273833,639812582402275677
16234093,1501881115,0,4437809,3435778465189398,2272920569657780836424575412085603,205295,46555465465107464655,1,3636736190112214,205430,205670,745273833,639812582402275677
16236493,1501881115,0,4437809,3435778465189398,2275732877226366029629403759490668,205319,29001499457139979699,1,3636736190112214,205430,205670,745273833,639812582402275677
16238893,1501881115,0,4437809,3435778465189398,2274740167921692629443616837354464,205311,31485966568595190915,1,3636736190112214,205430,205670,745273833,639812582402275677
16241293,826773386,566204532572776551,5316134,4457763831087439,2300631716006577619818717260285935,205537,22618611010766339865,1,3636736190112214,205430,205670,745273833,639812582402275677
16243693,1501881115,0,6532768,5198067755997763,2270824349001401756389526076262986,205276,22381477162560579800,1,3636736190112214,205430,205670,745273833,639812582402275677
16246093,1501881115,0,6532768,5198067755997763,2266216588496224172254804411624938,205236,22728336445874518659,1,3636736190112214,205430,205670,745273833,639812582402275677
16248493,1501881115,0,6532768,5198067755997763,2269782469176920445513960727061014,205267,24520173141659983885,1,3636736190112214,205430,205670,745273833,639812582402275677
16250893,1501881115,0,6532768,5198067755997763,2268318100384631286503934121351000,205254,24021694853194625550,1,3636736190112214,205430,205670,745273833,639812582402275677
16253293,1501881115,0,6532768,5198067755997763,2268286731158999893110011846751513,205254,25077936307355277000,1,3636736190112214,205430,205670,745273833,639812582402275677
16255693,1501881115,0,6532768,5198067755997763,2269869087596540109532934287558589,205268,29040769306209328916,1,3636736190112214,205430,205670,745273833,639812582402275677
16258093,1501881115,0,6532768,5198067755997763,2267587315813470219639532896775164,205248,52934674799180299526,1,3636736190112214,205430,205670,745273833,639812582402275677
16260493,1501881115,0,6532768,5198067755997763,2268526464772877677599875107247126,205256,33919981157358144666,1,3636736190112214,205430,205670,745273833,639812582402275677
16262893,1501881115,0,6554157,5215915771973565,2276380951899290357379858535471998,205325,49644562439988786256,1,3636736190112214,205430,205670,745273833,639812582402275677
16265293,1501881115,0,6554157,5215915771973565,2270884431433260243759806907927190,205277,26634674985542752592,1,3636736190112214,205430,205670,745273833,639812582402275677
16267693,1501881115,0,6554157,5215915771973565,2269257000224747449767003218337749,205262,40454737982949317533,1,3636736190112214,205430,205670,745273833,639812582402275677
